Jurisdiction,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montana,690,715,739,831,914,903,964,"1,129","1,111","1,207","1,272","1,328","1,425","1,478","1,548","1,541","1,764","1,999","2,230","2,541","2,734","2,951","3,105","3,328","3,323","3,620","3,164","3,509","3,563","3,431","3,517","3,605","3,716","3,678","3,609","3,642","3,699","3,685","3,814","3,698","3,765","4,723"
Nebraska,"1,347","1,291","1,446","1,488","1,739","1,629","1,655","1,814","2,044","2,086","2,156","2,393","2,403","2,526","2,514","2,518","2,711","3,074","3,287","3,402","3,676","3,688","3,895","3,937","4,058","4,040","4,130","4,455","4,407","4,505","4,520","4,474","4,587","4,616","4,705","5,026","5,441","5,372","5,302","5,313","5,491","5,682"
Nevada,"1,350","1,566","1,839","2,116","2,753","3,188","3,488","3,771","4,551","4,434","4,881","5,112","5,322","5,823","6,049","6,412","6,993","7,713","8,325","9,024","9,651","9,494","10,063","10,233","10,478","10,543","11,365","11,782","12,839","13,400","12,743","12,482","12,653","12,778","12,883","13,056","12,537","13,071","13,757","13,721","13,641","12,840"
New Hampshire,283,316,326,398,445,479,581,683,782,867,"1,019","1,166","1,342","1,533","1,777","1,775","2,021","2,015","2,062","2,168","2,169","2,257","2,257","2,392","2,451","2,434","2,448","2,530","2,805","2,943","2,702","2,731","2,761","2,614","2,790","3,018","2,963","2,897","2,818","2,750","2,722","2,691"
New Jersey,"5,869","5,852","5,884","7,011","8,191","9,192","10,363","11,335","12,020","15,969","16,936","19,439","21,128","23,483","22,653","23,831","24,632","27,066","27,490","28,361","31,121","31,493","29,784","28,142","27,891","27,246","26,757","27,359","27,371","26,827","25,953","25,382","25,007","23,834","23,225","22,452","21,590","20,489","19,786","19,585","19,362","18,613"
New Mexico,"1,593","1,556","1,279","1,497","1,718","1,977","2,129","2,313","2,416","2,670","2,825","3,158","3,187","3,119","3,271","3,498","3,712","4,078","4,724","4,688","5,078","5,174","5,342","5,668","5,991","6,223","6,379","6,571","6,639","6,466","6,322","6,363","6,763","6,998","6,727","6,931","7,021","7,104","7,055","7,276","7,030","6,723"
New York,"20,459","20,856","21,815","25,494","27,945","30,510","33,109","34,507","38,449","40,842","44,560","51,232","54,895","57,862","61,736","64,569","66,750","68,486","69,709","69,108","72,289","72,899","70,199","67,533","67,065","65,198","63,751","62,743","63,315","62,620","60,347","58,687","56,656","55,436","54,210","53,550","52,518","51,727","50,716","49,461","46,636","43,500"
North Carolina,"13,252","14,255","15,513","15,770","16,569","15,395","16,371","17,344","17,698","17,218","17,078","17,454","18,411","18,903","20,454","21,892","23,648","29,253","30,647","31,612","31,961","31,086","31,266","32,253","32,832","33,560","35,434","36,365","37,460","37,970","39,482","39,860","40,382","39,440","37,136","36,922","37,096","36,617","35,697","36,394","34,899","34,079"
North Dakota,200,186,253,280,322,410,432,422,421,430,466,451,483,492,477,498,536,608,722,797,915,943,"1,076","1,111","1,112","1,239","1,327","1,385","1,363","1,416","1,452","1,486","1,487","1,423","1,512","1,576","1,718","1,795","1,791","1,723","1,695","1,794"
Ohio,"13,107","13,360","13,489","14,968","17,317","18,007","18,619","20,864","22,463","24,240","26,462","30,538","31,822","35,744","38,378","40,641","41,908","44,663","46,174","48,016","48,450","46,842","45,833","45,281","45,646","44,778","44,806","45,854","49,166","50,731","51,686","51,606","51,712","50,964","50,876","51,729","51,519","52,233","52,175","51,478","50,431","50,338"
Oklahoma,"4,186","4,250","4,796","5,281","6,500","7,480","7,872","8,330","9,708","9,639","10,448","11,608","12,285","13,340","14,821","16,409","16,631","18,151","19,593","20,542","20,892","22,393","23,181","22,780","22,802","22,821","24,508","24,826","24,288","24,603","24,660","24,803","26,252","25,977","25,225","27,547","27,650","28,547","29,916","28,143","26,956","25,679"
Oregon,"2,879","3,179","3,177","3,295","3,900","3,952","4,224","4,376","4,770","5,457","5,991","6,156","6,492","6,732","6,583","6,557","6,936","7,886","8,661","7,999","9,034","9,860","10,580","11,410","12,085","12,715","13,183","13,411","13,707","13,948","14,167","14,403","14,876","14,510","14,840","15,517","15,075","15,245","15,166","15,218","15,268","14,961"
Pennsylvania,"7,814","7,772","8,171","9,365","10,508","11,767","13,090","14,227","15,201","16,267","17,900","20,469","22,290","23,388","24,974","26,050","28,302","32,416","34,537","34,964","36,377","36,525","36,847","38,062","40,168","40,890","40,963","42,380","44,397","45,969","49,215","51,429","51,264","51,578","51,125","51,422","50,694","49,858","49,244","48,333","47,239","45,702"
